index,repo_id,tag_name,created_at
6,18925814,v0.14.0,17-04-2017
7,18925814,v0.13.0,22-07-2016
8,18925814,v0.12.0,27-05-2016
9,18925814,v0.11.0,18-02-2016
10,18925814,v0.10.0,12-01-2016
11,18925814,v0.9.0,22-11-2015
12,18925814,v0.8.0,08-09-2015
13,18925814,v0.7.0,12-08-2015
14,18925814,v0.6.0,14-07-2015
15,18925814,v0.5.0,26-05-2015
16,18925814,v0.4.0,27-01-2015
17,18925814,v0.3.0,05-11-2014
18,18925814,v0.2.0,03-09-2014
19,18925814,v0.1.0,03-09-2014
0,1324413,veusz-3.3.1,06-12-2020
1,1324413,veusz-3.3,21-11-2020
2,1324413,veusz-3.2.991,21-11-2020
3,1324413,veusz-3.2.1,22-03-2020
4,1324413,veusz-3.2,07-03-2020
5,1324413,veusz-3.1,26-10-2019
6,1324413,veusz-3.0.1,22-07-2018
7,1324413,veusz-3.0,09-06-2018
8,1324413,veusz-2.999,03-06-2018
9,1324413,veusz-2.2.2,07-04-2018
10,1324413,veusz-2.2.1,11-03-2018
11,1324413,veusz-2.2,25-02-2018
12,1324413,veusz3d-2.1.101,04-02-2018
13,1324413,veusz-2.1.1,11-11-2017
14,1324413,veusz-2.1,28-10-2017
15,1324413,veusz-2.0.1,23-09-2017
16,1324413,veusz-2.0,16-09-2017
17,1324413,veusz-1.27,02-09-2017
18,1324413,veusz-1.26.99,27-08-2017
19,1324413,veusz-1.26.1,15-05-2017
20,1324413,veusz-1.9,01-09-2010
21,1324413,veusz-1.10,12-12-2010
22,1324413,veusz-1.11,02-04-2011
23,1324413,veusz-1.12,28-06-2011
24,1324413,veusz-1.13,20-08-2011
25,1324413,veusz-1.14,25-11-2011
26,1324413,veusz-1.15,28-03-2012
27,1324413,veusz-1.16,02-07-2012
28,1324413,veusz-1.17,24-03-2013
29,1324413,veusz-1.17.1,06-04-2013
30,1324413,veusz-1.18,06-07-2013
31,1324413,veusz-1.19,16-11-2013
32,1324413,veusz-1.19.1,27-11-2013
33,1324413,veusz-1.20,14-01-2014
34,1324413,veusz-1.20.1,10-02-2014
35,1324413,veusz-1.21,03-05-2014
36,1324413,veusz-1.21.1,29-08-2014
37,1324413,veusz-1.22,18-10-2014
38,1324413,veusz-1.23,17-04-2015
39,1324413,veusz-1.23.1,14-06-2015
40,1324413,veusz-1.23.2,23-12-2015
41,1324413,veusz-1.24,05-05-2016
42,1324413,veusz-1.25,26-11-2016
43,1324413,veusz-1.25.1,20-12-2016
44,1324413,veusz-1.26,07-05-2017
0,8935948,v0.7.3,21-07-2021
1,8935948,v0.7.2,20-07-2021
2,8935948,v0.7.1,13-07-2021
3,8935948,v0.7.0,30-06-2021
4,8935948,v0.6.6,28-11-2020
5,8935948,v0.6.5,24-09-2020
6,8935948,v0.6.4,13-12-2019
7,8935948,v0.6.3,27-11-2019
8,8935948,v0.6.2,05-11-2019
9,8935948,v0.6.1,28-07-2019
10,8935948,v0.6.0,11-07-2019
11,8935948,v0.5.3,28-03-2018
12,8935948,v0.5.2,12-12-2017
13,8935948,v0.5.1,04-11-2017
14,8935948,v0.5.0,24-10-2017
15,8935948,v0.4.0,22-05-2015
16,8935948,v0.3.0,29-08-2014
17,8935948,v0.2.1,04-11-2013
